delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,highgamma,Value
358286,9310338,41123,384393,27904,80346,34686,12149,0
488497,3214101,28172,178433,73749,51639,5221,24325,0
864900,8658701,65065,288234,445480,88566,17616,24655,0
280328,526430,21544,55224,149230,26046,7765,8344,0
598925,9240980,39589,22058,3786,5235,3833,2929,0
293224,6817523,35209,15712,130849,88503,21900,25267,0
966787,8587838,149450,214703,29071,66036,8280,8632,1
445307,8065535,173833,276790,40680,54224,37930,31635,0
1229397,5574324,1123797,290569,308712,85168,22631,45921,0
591277,11338300,6875,12647,5452,4331,2768,1385,0
1917045,7668971,43991,62003,14748,18213,6911,4881,1
2113242,14288683,69197,15991,10974,12476,7563,3393,1
673870,5112307,24882,3248,5159,1891,1234,541,0
1516436,9702102,162148,54934,27298,17486,11353,3248,0
46544,13631706,17926,19209,9119,5968,2323,2778,2
42999,16187466,5537,1107,530,612,352,67,2
348073,11075758,19149,3023,9696,3359,2238,561,1
155337,13172793,2025,2540,7302,1386,850,684,2
216043,15401074,2913,2530,1545,1078,319,308,1
60652,15466524,30611,5225,12125,7883,1942,1419,2
62242,2228456,48571,29525,11478,6197,3328,1583,2
105155,12779548,2265,3106,1568,1434,432,402,2
20461,15532245,18690,13807,20020,8504,2560,2991,2
1102222,9306444,23230,21981,10551,16449,2493,2769,2
83738,1704022,5416,718,2984,2537,609,793,2
128379,8061055,8779,9164,6633,2480,508,761,2
1107840,8389126,8824,17023,2205,3531,977,751,1
817677,852457,36004,29441,5306,4110,1809,1278,0
2789935,3080742,8597,15082,11035,3772,4075,615,0
119729,11600156,13499,7482,4243,4316,1341,676,1
62361,10027206,17214,19331,5860,7851,3697,3287,2
32026,1704025,15282,4401,5291,8253,2906,3205,1
76823,1507474,2022,4177,933,635,1631,1320,0
51592,8913026,13133,23580,11651,7227,3856,3061,1
366227,9634501,22183,20625,27941,25859,5744,2574,1
428638,6160798,2377,18471,24974,6911,2157,505,1
166696,2621539,2323,1271,3328,1770,1877,764,1
678603,13303922,14472,11243,20650,1875,1970,339,0
